Abr,Abraham
Alex,Alexander
Alf,Alfred
Arth,Arthur
Aug,August
Benj,Benjamin
Cath,Catherine
Chas,Charles
Danl,Daniel
Oanl,Daniel
0anl,Daniel
Edw,Edward
Eliz,Elizabeth
Eug,Eugene
Fredk,Frederick
Geo,George
Jas,James
Jamea,James
Jos,Joseph
Kath,Katherine
Margt,Margaret
Michl,Michael
Msry,Mary
Nathl,Nathaniel
Patk,Patrick
Richd,Richard
Robt,Robert
Saml,Samuel
Selvvyn,Selwyn
Sol,Solomon
Steph,Stephen
Theo,Theodore
Thos,Thomas
Vvm,William
Wm,William
